,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,1.0,1.0,2.0
1,Very High,2012.0,0.0,14.0,41.0,55.0
2,Very High,2013.0,4.0,35.0,82.0,121.0
3,Very High,2014.0,1.0,29.0,71.0,101.0
4,Very High,2015.0,0.0,15.0,64.0,79.0
5,Very High,2016.0,0.0,1.0,7.0,8.0
6,Very High,2017.0,2.0,10.0,42.0,54.0
7,Very High,2018.0,0.0,1.0,12.0,13.0
8,Very High,2019.0,0.0,0.0,14.0,14.0
9,Very High,2020.0,1.0,20.0,13.0,34.0
10,Very High,2021.0,13.0,62.0,409.0,484.0
11,Very High,2022.0,1.0,30.0,25.0,56.0
12,Very High,2023.0,10.0,185.0,114.0,309.0
