,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,alternative energy,1,1,1,1,1.0,1.0,1.0
1,automobiles & parts,1,1,1,1,1.0,1.0,1.0
2,beverages,1,1,1,1,1.0,1.0,1.0
3,chemicals,4,4,4,4,1.0,1.0,1.0
4,construction & materials,1,1,1,1,1.0,1.0,1.0
5,diversified,3,2,3,1,0.67,1.0,0.33
6,electricity,2,2,2,2,1.0,1.0,1.0
7,electronic & electrical equ...,1,1,1,1,1.0,1.0,1.0
8,finance and credit services,1,1,1,0,1.0,1.0,0.0
9,food producers,4,4,4,4,1.0,1.0,1.0
10,general industrials,2,2,2,1,1.0,1.0,0.5
11,household goods & home cons...,2,2,2,2,1.0,1.0,1.0
12,"oil, gas, & coal",2,2,2,2,1.0,1.0,1.0
13,personal goods,1,1,1,1,1.0,1.0,1.0
14,retailers,2,2,2,2,1.0,1.0,1.0
