,Sector,intersection,health,climate
0,aerospace & defense,6.0,61.5,52.5
1,alternative energy,1.33,28.33,44.33
2,automobiles & parts,7.25,164.0,117.5
3,banks,3.0,75.0,94.0
4,beverages,6.67,86.33,64.67
5,chemicals,1.43,35.14,22.86
6,construction & materials,1.82,42.18,16.45
7,diversified,2.24,50.88,30.16
8,electricity,8.0,52.25,133.0
9,electronic & electrical equ...,3.0,64.67,78.0
10,finance and credit services,4.0,86.42,74.17
11,food producers,4.56,65.89,40.22
12,"gas, water & multiutilities",5.33,122.0,144.0
13,general industrials,2.92,51.58,45.67
14,household goods & home cons...,0.5,57.0,30.0
15,industrial engineering,9.33,56.0,105.0
16,industrial materials,5.5,91.0,48.0
17,industrial metals and mining,4.0,74.0,101.0
18,industrial support services,0.75,17.5,22.83
19,industrial transportation,3.75,50.5,51.25
20,leisure goods,5.0,83.5,46.0
21,life insurance,12.5,166.5,196.0
22,medical equipment and services; health care providers,2.0,71.0,5.0
23,not applicable,2.2,13.2,9.2
24,"oil, gas, & coal",21.0,200.5,246.5
25,personal goods,4.71,83.43,60.29
26,pharmaceuticals & biotechno...,5.25,90.25,21.5
27,real estate investment & se...,0.0,0.0,6.0
28,retailers,4.0,98.5,51.5
29,software & computer services,2.8,56.4,48.6
30,technology hardware & equip...,0.6,12.4,10.2
31,telecommunications equipment; telecommunications service providers,0.5,8.0,3.0
