,Year,intersection,health,climate
0,2011.0,0.1935483870967742,18.193548387096776,9.129032258064516
1,2012.0,0.725,27.7,12.075
2,2013.0,0.425,16.25,7.775
3,2014.0,0.6666666666666666,18.047619047619047,5.214285714285714
4,2015.0,0.5,16.761904761904763,5.666666666666667
5,2016.0,0.9166666666666666,17.305555555555557,5.916666666666667
6,2017.0,0.4528301886792453,13.867924528301886,7.811320754716981
7,2018.0,0.38333333333333336,17.15,6.883333333333334
8,2019.0,0.4691358024691358,20.074074074074073,8.925925925925926
9,2020.0,0.5853658536585366,22.5609756097561,11.439024390243903
10,2021.0,1.3384615384615384,39.62307692307692,14.8
11,2022.0,1.3076923076923077,37.97435897435897,17.865384615384617
12,2023.0,3.56140350877193,61.32163742690059,52.32748538011696
