,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,18.0,45.0,63.0
1,Very High,2012.0,0.0,20.0,64.0,84.0
2,Very High,2013.0,0.0,33.0,55.0,88.0
3,Very High,2014.0,2.0,28.0,68.0,98.0
4,Very High,2015.0,0.0,16.0,62.0,78.0
5,Very High,2016.0,0.0,12.0,45.0,57.0
6,Very High,2017.0,1.0,17.0,28.0,46.0
7,Very High,2018.0,0.0,4.0,4.0,8.0
8,Very High,2019.0,0.0,4.0,7.0,11.0
9,Very High,2021.0,0.0,0.0,7.0,7.0
10,Very High,2022.0,0.0,0.0,6.0,6.0
11,Very High,2023.0,1.0,9.0,11.0,21.0
