,Sector,intersection,climate,health
0,aerospace & defense,0.0,1.0,1.0
1,beverages,0.0,5.0,40.0
2,chemicals,9.0,184.0,245.0
3,construction & materials,0.0,4.0,28.0
4,diversified,8.0,50.0,121.0
5,electricity,20.0,307.0,144.0
6,finance and credit services,4.0,138.0,90.0
7,financial services,64.0,1212.0,870.0
8,food producers,13.0,140.0,253.0
9,general industrials,3.0,131.0,138.0
10,industrial materials,68.0,952.0,656.0
11,industrial metals & mining,22.0,255.0,808.0
12,industrial metals and mining,35.0,374.0,1193.0
13,industrial support services,0.0,75.0,69.0
14,industrial transportation,13.0,190.0,1052.0
15,media,1.0,4.0,12.0
16,medical equipment and services; health care providers,18.0,103.0,260.0
17,nonlife insurance,10.0,115.0,1146.0
18,not applicable,5.0,47.0,56.0
19,open end and miscellaneous investment vehicles,0.0,0.0,17.0
20,pharmaceuticals & biotechno...,54.0,287.0,1367.0
21,real estate investment trusts,27.0,328.0,234.0
22,retailers,64.0,677.0,1075.0
23,software & computer services,5.0,54.0,65.0
24,technology hardware & equip...,1.0,20.0,129.0
25,telecommunications equipment; telecommunications service providers,14.0,210.0,480.0
26,travel & leisure,8.0,129.0,454.0
