,SIDS,Year,intersection,climate,health,sum
0,Tier 2,2011.0,32.0,309.0,452.0,793.0
1,Tier 2,2012.0,7.0,109.0,356.0,472.0
2,Tier 2,2013.0,32.0,368.0,985.0,1385.0
3,Tier 2,2014.0,26.0,418.0,884.0,1328.0
4,Tier 2,2015.0,29.0,531.0,1211.0,1771.0
5,Tier 2,2016.0,31.0,527.0,1238.0,1796.0
6,Tier 2,2017.0,33.0,366.0,865.0,1264.0
7,Tier 2,2018.0,11.0,187.0,409.0,607.0
8,Tier 2,2019.0,28.0,313.0,558.0,899.0
9,Tier 2,2020.0,17.0,320.0,458.0,795.0
10,Tier 2,2021.0,64.0,590.0,839.0,1493.0
11,Tier 2,2022.0,31.0,485.0,514.0,1030.0
12,Tier 2,2023.0,125.0,1469.0,2234.0,3828.0
