,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011.0,6.0,71.0,272.0,349.0
1,Tier 1,2012.0,8.0,164.0,379.0,551.0
2,Tier 1,2013.0,19.0,157.0,319.0,495.0
3,Tier 1,2014.0,9.0,309.0,390.0,708.0
4,Tier 1,2015.0,15.0,172.0,484.0,671.0
5,Tier 1,2016.0,21.0,428.0,517.0,966.0
6,Tier 1,2017.0,33.0,117.0,264.0,414.0
7,Tier 1,2018.0,4.0,57.0,183.0,244.0
8,Tier 1,2019.0,44.0,149.0,391.0,584.0
9,Tier 1,2020.0,12.0,155.0,178.0,345.0
10,Tier 1,2021.0,23.0,235.0,793.0,1051.0
11,Tier 1,2022.0,80.0,1149.0,1952.0,3181.0
12,Tier 1,2023.0,127.0,2355.0,2531.0,5013.0
