,Year,intersection,health,climate
0,2011.0,0.4,18.133333333333333,4.733333333333333
1,2012.0,0.38095238095238093,18.047619047619047,7.809523809523809
2,2013.0,0.95,15.95,7.85
3,2014.0,0.45,19.5,15.45
4,2015.0,0.6818181818181818,22.0,7.818181818181818
5,2016.0,1.0,24.61904761904762,20.38095238095238
6,2017.0,1.8333333333333333,14.666666666666666,6.5
7,2018.0,0.36363636363636365,16.636363636363637,5.181818181818182
8,2019.0,2.75,24.4375,9.3125
9,2020.0,0.9230769230769231,13.692307692307692,11.923076923076923
10,2021.0,1.2777777777777777,44.05555555555556,13.055555555555555
11,2022.0,2.7586206896551726,67.3103448275862,39.62068965517241
12,2023.0,4.379310344827586,87.27586206896552,81.20689655172414
