,Sector,intersection,health,climate
0,automobiles & parts,7.0,68.0,43.0
1,beverages,5.0,101.0,80.0
2,construction & materials,4.0,205.0,251.0
3,diversified,1.75,68.25,69.25
4,electronic & electrical equ...,1.0,40.0,18.0
5,finance and credit services,8.5,103.25,123.5
6,food producers,5.0,101.0,80.0
7,nonlife insurance,0.5,54.0,49.5
8,"oil, gas, & coal",4.0,73.0,34.0
9,retailers,5.0,101.0,80.0
10,software & computer services,5.33,89.67,93.67
11,technology hardware & equip...,2.0,73.0,65.0
12,telecommunications equipment; telecommunications service providers,6.0,100.0,73.0
13,travel & leisure,0.0,0.0,0.0
