,Sector,intersection,climate,health
0,banks,2.0,105.0,64.0
1,diversified,0.0,94.0,53.0
2,electricity,0.0,27.0,115.0
3,electronic & electrical equ...,3.0,3.0,39.0
4,finance and credit services,6.0,80.0,108.0
5,financial services,2.0,18.0,24.0
6,food producers,0.0,0.0,5.0
7,"gas, water & multiutilities",13.0,82.0,117.0
8,general industrials,2.0,4.0,108.0
9,industrial metals & mining,0.0,0.0,39.0
10,industrial metals and mining,2.0,81.0,84.0
11,industrial support services,0.0,0.0,1.0
12,industrial transportation,4.0,47.0,107.0
13,media,0.0,0.0,1.0
14,nonlife insurance,0.0,0.0,19.0
15,not applicable,0.0,6.0,29.0
16,"oil, gas, & coal",0.0,3.0,12.0
17,pharmaceuticals & biotechno...,0.0,10.0,117.0
18,real estate investment & se...,0.0,8.0,17.0
19,software & computer services,10.0,215.0,263.0
20,telecommunications equipment; telecommunications service providers,0.0,0.0,30.0
