,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011.0,0.0,0.0,21.0,21.0,medical equipment and services; health care providers or health care
1,Very High,2012.0,0.0,0.0,29.0,29.0,medical equipment and services; health care providers or health care
2,Very High,2013.0,0.0,3.0,109.0,112.0,medical equipment and services; health care providers or health care
3,Very High,2014.0,0.0,14.0,81.0,95.0,medical equipment and services; health care providers or health care
4,Very High,2015.0,2.0,23.0,92.0,117.0,medical equipment and services; health care providers or health care
5,Very High,2016.0,0.0,20.0,119.0,139.0,medical equipment and services; health care providers or health care
6,Very High,2017.0,0.0,32.0,158.0,190.0,medical equipment and services; health care providers or health care
7,Very High,2018.0,2.0,35.0,158.0,195.0,medical equipment and services; health care providers or health care
8,Very High,2019.0,9.0,52.0,263.0,324.0,medical equipment and services; health care providers or health care
9,Very High,2020.0,11.0,58.0,307.0,376.0,medical equipment and services; health care providers or health care
10,Very High,2021.0,15.0,126.0,435.0,576.0,medical equipment and services; health care providers or health care
11,Very High,2022.0,25.0,169.0,587.0,781.0,medical equipment and services; health care providers or health care
12,Very High,2023.0,19.0,157.0,338.0,514.0,medical equipment and services; health care providers or health care
