,Sector,intersection,health,climate
0,alternative energy,2.83,15.17,43.17
1,automobiles & parts,0.0,7.0,12.0
2,banks,1.0,13.25,70.5
3,beverages,3.5,47.0,58.0
4,chemicals,2.67,46.67,82.67
5,construction & materials,2.7,20.4,30.3
6,diversified,1.0,32.67,34.33
7,electricity,4.0,20.5,119.5
8,electronic & electrical equ...,4.8,47.8,134.0
9,finance and credit services,3.11,30.11,64.78
10,food producers,2.9,45.8,25.1
11,"gas, water & multiutilities",0.0,21.0,7.0
12,general industrials,1.55,33.91,25.36
13,household goods & home cons...,0.5,7.6,10.0
14,industrial engineering,1.22,32.0,26.89
15,industrial materials,4.0,6.0,15.0
16,industrial support services,1.12,15.81,15.94
17,industrial transportation,2.6,20.6,49.6
18,investment banking and brokerage services,0.25,8.75,17.25
19,leisure goods,1.0,14.0,21.5
20,media,0.0,11.0,22.0
21,medical equipment and services; health care providers,3.17,56.33,26.17
22,nonlife insurance,1.0,54.0,7.5
23,not applicable,0.2,2.8,7.2
24,"oil, gas, & coal",0.0,12.0,3.0
25,personal goods,1.12,9.12,17.62
26,pharmaceuticals & biotechno...,7.5,134.33,34.83
27,real estate investment & se...,0.0,22.0,0.0
28,retailers,1.55,26.91,22.82
29,software & computer services,0.12,6.12,10.5
30,technology hardware & equip...,1.8,15.8,24.4
31,telecommunications equipment; telecommunications service providers,1.5,12.25,28.75
32,travel & leisure,0.5,18.62,16.25
