,Sector,intersection,climate,health
0,aerospace & defense,6.0,57.0,194.0
1,alternative energy,85.0,1123.0,630.0
2,automobiles & parts,2.0,58.0,130.0
3,banks,31.0,878.0,360.0
4,beverages,39.0,617.0,1319.0
5,chemicals,32.0,431.0,635.0
6,construction & materials,123.0,1881.0,1799.0
7,diversified,56.0,867.0,1121.0
8,electricity,39.0,1520.0,701.0
9,electronic & electrical equ...,50.0,1024.0,932.0
10,finance and credit services,36.0,628.0,333.0
11,financial services,64.0,1112.0,1679.0
12,food producers,214.0,1864.0,4361.0
13,"gas, water & multiutilities",3.0,234.0,324.0
14,general industrials,55.0,772.0,1546.0
15,household goods & home cons...,14.0,183.0,550.0
16,industrial engineering,33.0,732.0,1204.0
17,industrial materials,20.0,155.0,166.0
18,industrial support services,91.0,1155.0,2245.0
19,industrial transportation,79.0,1281.0,1063.0
20,investment banking and brokerage services,1.0,108.0,40.0
21,leisure goods,13.0,401.0,455.0
22,media,4.0,128.0,256.0
23,medical equipment and services; health care providers,83.0,689.0,2697.0
24,nonlife insurance,45.0,551.0,1285.0
25,not applicable,1.0,66.0,62.0
26,"oil, gas, & coal",28.0,238.0,376.0
27,personal goods,35.0,436.0,806.0
28,pharmaceuticals & biotechno...,142.0,432.0,2594.0
29,real estate investment & se...,2.0,24.0,97.0
30,retailers,32.0,414.0,1001.0
31,software & computer services,18.0,461.0,703.0
32,technology hardware & equip...,52.0,570.0,772.0
33,telecommunications equipment; telecommunications service providers,14.0,211.0,282.0
34,travel & leisure,42.0,524.0,996.0
