,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,1.0,0.9,0.2,2023
1,alternative energy,0.85,1.0,0.48,2023
2,automobiles & parts,0.34,1.0,0.07,2023
3,banks,0.96,0.93,0.37,2023
4,beverages,0.73,0.98,0.24,2023
5,chemicals,0.86,1.0,0.52,2023
6,construction & materials,0.72,0.88,0.33,2023
7,diversified,0.79,0.86,0.2,2023
8,electricity,0.98,0.94,0.34,2023
9,electronic & electrical equ...,0.61,0.9,0.18,2023
10,finance and credit services,0.7,0.8,0.5,2023
11,financial services,0.91,0.9,0.29,2023
12,food producers,0.68,0.94,0.32,2023
13,"gas, water & multiutilities",0.92,0.92,0.12,2023
14,general industrials,0.58,0.77,0.18,2023
15,household goods & home cons...,0.42,0.94,0.13,2023
16,industrial engineering,0.57,0.92,0.23,2023
17,industrial materials,0.63,0.76,0.16,2023
18,industrial support services,0.49,0.78,0.17,2023
19,industrial transportation,0.84,0.93,0.27,2023
20,investment banking and brokerage services,1.0,1.0,0.12,2023
21,leisure goods,0.55,0.86,0.16,2023
22,media,0.52,1.0,0.07,2023
23,medical equipment and services; health care providers,0.54,0.91,0.33,2023
24,nonlife insurance,0.95,1.0,0.49,2023
25,not applicable,0.71,0.79,0.07,2023
26,"oil, gas, & coal",0.75,1.0,0.22,2023
27,personal goods,0.46,0.87,0.08,2023
28,pharmaceuticals & biotechno...,0.76,0.98,0.49,2023
29,real estate investment & se...,0.42,0.67,0.17,2023
30,retailers,0.4,0.85,0.15,2023
31,software & computer services,0.49,0.74,0.11,2023
32,technology hardware & equip...,0.71,0.98,0.32,2023
33,telecommunications equipment; telecommunications service providers,0.88,1.0,0.25,2023
34,travel & leisure,0.75,0.95,0.25,2023
