,Sector,intersection,health,climate
0,alternative energy,0.0,4.0,0.0
1,automobiles & parts,1.0,10.0,4.0
2,banks,7.67,76.0,133.67
3,beverages,7.0,92.0,116.0
4,diversified,6.0,100.0,145.0
5,electricity,5.0,78.0,259.0
6,finance and credit services,2.0,33.33,32.33
7,general industrials,0.0,50.0,58.0
8,industrial metals and mining,0.0,38.0,8.0
9,industrial support services,0.0,2.5,1.5
10,industrial transportation,3.0,29.0,50.0
11,investment banking and brokerage services,0.0,5.0,0.0
12,medical equipment and services; health care providers,14.5,137.0,16.0
13,nonlife insurance,21.0,253.0,165.0
14,not applicable,0.0,0.0,1.0
15,real estate investment & se...,8.5,77.0,118.0
16,retailers,1.5,39.5,57.75
17,software & computer services,10.0,127.0,168.0
18,technology hardware & equip...,0.0,4.0,1.0
