,Sector,Climate,Health,Intersection,Year
0,alternative energy,0.67,0.67,0.67,2023
1,automobiles & parts,0.64,0.96,0.32,2023
2,banks,1.0,0.92,0.53,2023
3,beverages,1.0,1.0,0.65,2023
4,chemicals,0.87,0.93,0.56,2023
5,construction & materials,0.87,0.98,0.34,2023
6,diversified,0.88,0.92,0.77,2023
7,electricity,0.96,0.96,0.92,2023
8,electronic & electrical equ...,0.68,1.0,0.27,2023
9,finance and credit services,1.0,1.0,1.0,2023
10,financial services,1.0,0.75,0.0,2023
11,food producers,0.85,0.97,0.69,2023
12,general industrials,0.71,0.89,0.45,2023
13,household goods & home cons...,1.0,1.0,0.67,2023
14,industrial engineering,0.0,0.67,0.0,2023
15,industrial metals & mining,0.9,1.0,0.6,2023
16,industrial metals and mining,1.0,1.0,1.0,2023
17,industrial support services,0.47,0.97,0.23,2023
18,industrial transportation,0.83,0.83,0.38,2023
19,investment banking and brokerage services,0.0,1.0,0.0,2023
20,life insurance,1.0,1.0,0.29,2023
21,media,0.53,0.91,0.03,2023
22,medical equipment and services; health care providers,0.5,1.0,0.0,2023
23,nonlife insurance,1.0,1.0,0.69,2023
24,not applicable,0.86,0.86,0.29,2023
25,"oil, gas, & coal",0.83,1.0,0.52,2023
26,personal goods,0.77,0.9,0.03,2023
27,pharmaceuticals & biotechno...,0.67,0.89,0.34,2023
28,real estate investment & se...,0.5,0.5,0.0,2023
29,real estate investment trusts,1.0,1.0,1.0,2023
30,retailers,0.92,0.85,0.77,2023
31,software & computer services,0.87,1.0,0.27,2023
32,telecommunications equipment; telecommunications service providers,1.0,1.0,0.82,2023
33,travel & leisure,0.43,0.57,0.14,2023
