,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,alternative energy,2,1,1,1,0.5,0.5,0.5
1,automobiles & parts,8,8,8,5,1.0,1.0,0.62
2,banks,4,4,4,4,1.0,1.0,1.0
3,chemicals,7,7,7,6,1.0,1.0,0.86
4,construction & materials,3,3,3,3,1.0,1.0,1.0
5,diversified,30,27,28,22,0.9,0.93,0.73
6,electricity,12,12,12,12,1.0,1.0,1.0
7,electronic & electrical equ...,3,3,3,2,1.0,1.0,0.67
8,finance and credit services,1,1,1,1,1.0,1.0,1.0
9,food producers,6,6,6,6,1.0,1.0,1.0
10,general industrials,11,11,11,9,1.0,1.0,0.82
11,household goods & home cons...,2,2,2,2,1.0,1.0,1.0
12,industrial metals and mining,5,5,5,5,1.0,1.0,1.0
13,industrial support services,2,2,2,1,1.0,1.0,0.5
14,industrial transportation,2,2,2,2,1.0,1.0,1.0
15,investment banking and brokerage services,1,0,1,0,0.0,1.0,0.0
16,life insurance,1,1,1,1,1.0,1.0,1.0
17,media,1,1,1,1,1.0,1.0,1.0
18,nonlife insurance,3,3,3,3,1.0,1.0,1.0
19,not applicable,3,3,3,2,1.0,1.0,0.67
20,"oil, gas, & coal",4,4,4,4,1.0,1.0,1.0
21,pharmaceuticals & biotechno...,3,3,3,3,1.0,1.0,1.0
22,real estate investment trusts,1,1,1,1,1.0,1.0,1.0
23,retailers,8,7,7,7,0.88,0.88,0.88
24,software & computer services,3,3,3,1,1.0,1.0,0.33
25,telecommunications equipment; telecommunications service providers,2,2,2,2,1.0,1.0,1.0
26,travel & leisure,2,2,2,1,1.0,1.0,0.5
