,Sector,intersection,climate,health
0,alternative energy,8.0,48.0,44.0
1,automobiles & parts,7.0,69.0,281.0
2,beverages,0.0,0.0,0.0
3,chemicals,4.0,45.0,109.0
4,construction & materials,6.0,91.0,194.0
5,diversified,34.0,228.0,214.0
6,electricity,7.0,192.0,305.0
7,finance and credit services,3.0,47.0,95.0
8,financial services,2.0,23.0,161.0
9,food producers,9.0,159.0,250.0
10,"gas, water & multiutilities",0.0,2.0,4.0
11,general industrials,3.0,15.0,162.0
12,household goods & home cons...,0.0,4.0,9.0
13,industrial engineering,2.0,48.0,88.0
14,industrial materials,53.0,540.0,982.0
15,industrial metals and mining,16.0,528.0,2232.0
16,industrial support services,7.0,34.0,378.0
17,industrial transportation,0.0,20.0,73.0
18,media,0.0,9.0,30.0
19,not applicable,1.0,5.0,3.0
20,"oil, gas, & coal",48.0,674.0,565.0
21,personal goods,48.0,324.0,869.0
22,pharmaceuticals & biotechno...,1.0,32.0,167.0
23,real estate investment & se...,39.0,285.0,500.0
24,real estate investment trusts,0.0,1.0,8.0
25,retailers,0.0,9.0,71.0
26,software & computer services,0.0,0.0,31.0
27,telecommunications equipment; telecommunications service providers,0.0,30.0,176.0
28,travel & leisure,0.0,3.0,7.0
