,Year,intersection,health,climate
0,2011.0,0.0,10.2,1.6
1,2012.0,0.0,9.571428571428571,2.7142857142857144
2,2013.0,0.3181818181818182,12.863636363636363,3.090909090909091
3,2014.0,0.5882352941176471,19.764705882352942,10.294117647058824
4,2015.0,0.13333333333333333,20.133333333333333,2.1333333333333333
5,2016.0,0.10526315789473684,12.68421052631579,2.0
6,2017.0,0.07142857142857142,15.142857142857142,2.0
7,2018.0,0.17647058823529413,15.941176470588236,1.2352941176470589
8,2019.0,0.7,22.45,2.65
9,2020.0,0.4,16.4,4.9
10,2021.0,0.8709677419354839,27.419354838709676,7.741935483870968
11,2022.0,1.0,46.22222222222222,14.62962962962963
12,2023.0,6.15625,101.625,70.71875
