,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,automobiles & parts,1,1,1,1,1.0,1.0,1.0
1,chemicals,1,1,1,1,1.0,1.0,1.0
2,construction & materials,2,2,2,2,1.0,1.0,1.0
3,diversified,2,2,2,2,1.0,1.0,1.0
4,finance and credit services,1,1,1,1,1.0,1.0,1.0
5,food producers,1,1,1,1,1.0,1.0,1.0
6,industrial engineering,1,1,1,1,1.0,1.0,1.0
7,industrial materials,7,7,7,6,1.0,1.0,0.86
8,industrial metals and mining,4,4,4,3,1.0,1.0,0.75
9,industrial support services,2,1,1,0,0.5,0.5,0.0
10,not applicable,1,1,1,1,1.0,1.0,1.0
11,"oil, gas, & coal",3,3,3,3,1.0,1.0,1.0
12,personal goods,3,3,3,2,1.0,1.0,0.67
13,pharmaceuticals & biotechno...,1,1,1,1,1.0,1.0,1.0
14,real estate investment & se...,2,2,2,2,1.0,1.0,1.0
