Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,10,6,7,0,0.6,0.7,0.0
2012.0,14,8,7,0,0.57,0.5,0.0
2013.0,22,13,20,6,0.59,0.91,0.27
2014.0,17,8,16,5,0.47,0.94,0.29
2015.0,15,5,12,1,0.33,0.8,0.07
2016.0,19,5,15,1,0.26,0.79,0.05
2017.0,14,4,13,1,0.29,0.93,0.07
2018.0,17,6,15,2,0.35,0.88,0.12
2019.0,20,7,17,3,0.35,0.85,0.15
2020.0,20,9,19,3,0.45,0.95,0.15
2021.0,31,16,26,8,0.52,0.84,0.26
2022.0,27,21,24,11,0.78,0.89,0.41
2023.0,32,31,31,27,0.97,0.97,0.84
