,WHO,Year,intersection,climate,health,sum
0,Americas,2011.0,0.0,9.0,147.0,156.0
1,Americas,2012.0,0.0,18.0,118.0,136.0
2,Americas,2013.0,0.0,13.0,158.0,171.0
3,Americas,2014.0,1.0,15.0,163.0,179.0
4,Americas,2015.0,0.0,9.0,179.0,188.0
5,Americas,2016.0,1.0,7.0,167.0,175.0
6,Americas,2017.0,0.0,13.0,115.0,128.0
7,Americas,2018.0,4.0,11.0,192.0,207.0
8,Americas,2019.0,1.0,7.0,51.0,59.0
9,Americas,2020.0,0.0,3.0,9.0,12.0
10,Americas,2021.0,4.0,33.0,283.0,320.0
11,Americas,2022.0,4.0,34.0,254.0,292.0
12,Americas,2023.0,25.0,472.0,600.0,1097.0
