,Sector,intersection,climate,health
0,banks,0.0,15.0,37.0
1,beverages,0.0,18.0,24.0
2,construction & materials,0.0,9.0,32.0
3,diversified,9.0,302.0,397.0
4,electricity,0.0,18.0,102.0
5,financial services,0.0,0.0,38.0
6,food producers,17.0,115.0,159.0
7,"gas, water & multiutilities",3.0,5.0,199.0
8,general industrials,0.0,0.0,4.0
9,industrial materials,1.0,37.0,297.0
10,industrial support services,1.0,67.0,424.0
11,industrial transportation,0.0,0.0,3.0
12,life insurance,8.0,32.0,248.0
13,medical equipment and services; health care providers,0.0,0.0,4.0
14,nonlife insurance,0.0,6.0,175.0
15,not applicable,0.0,1.0,2.0
16,"oil, gas, & coal",1.0,11.0,168.0
17,personal goods,0.0,0.0,0.0
18,pharmaceuticals & biotechno...,0.0,0.0,23.0
19,software & computer services,0.0,6.0,15.0
20,telecommunications equipment; telecommunications service providers,0.0,2.0,85.0
