,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011.0,1.0,140.0,293.0,434.0
1,High,2012.0,8.0,136.0,295.0,439.0
2,High,2013.0,9.0,184.0,432.0,625.0
3,High,2014.0,8.0,107.0,464.0,579.0
4,High,2015.0,11.0,181.0,733.0,925.0
5,High,2016.0,10.0,122.0,297.0,429.0
6,High,2017.0,6.0,134.0,467.0,607.0
7,High,2018.0,6.0,223.0,410.0,639.0
8,High,2019.0,12.0,171.0,410.0,593.0
9,High,2020.0,4.0,177.0,514.0,695.0
10,High,2021.0,25.0,285.0,899.0,1209.0
11,High,2022.0,23.0,290.0,861.0,1174.0
12,High,2023.0,63.0,875.0,1257.0,2195.0
