,Sector,intersection,climate,health
0,alternative energy,0.0,27.0,20.0
1,beverages,29.0,441.0,630.0
2,chemicals,1.0,101.0,150.0
3,construction & materials,11.0,138.0,662.0
4,diversified,51.0,1018.0,2165.0
5,financial services,3.0,48.0,73.0
6,food producers,25.0,300.0,1057.0
7,general industrials,20.0,322.0,622.0
8,industrial support services,2.0,1.0,25.0
9,industrial transportation,3.0,25.0,20.0
10,medical equipment and services; health care providers,0.0,0.0,226.0
11,not applicable,0.0,13.0,165.0
12,"oil, gas, & coal",6.0,151.0,364.0
13,personal goods,30.0,360.0,1014.0
14,software & computer services,5.0,52.0,89.0
15,technology hardware & equip...,0.0,0.0,2.0
16,telecommunications equipment; telecommunications service providers,0.0,22.0,46.0
17,travel & leisure,0.0,6.0,2.0
