,Sector,intersection,climate,health
0,alternative energy,0.0,5.0,23.0
1,banks,0.0,4.0,9.0
2,beverages,1.0,26.0,185.0
3,chemicals,0.0,0.0,39.0
4,construction & materials,0.0,0.0,31.0
5,diversified,46.0,751.0,2621.0
6,electricity,16.0,230.0,742.0
7,financial services,0.0,1.0,70.0
8,food producers,0.0,8.0,23.0
9,general industrials,2.0,8.0,6.0
10,industrial support services,4.0,317.0,383.0
11,industrial transportation,12.0,115.0,396.0
12,leisure goods,0.0,2.0,8.0
13,media,0.0,1.0,59.0
14,medical equipment and services; health care providers,1.0,4.0,542.0
15,"oil, gas, & coal",0.0,1.0,53.0
16,pharmaceuticals & biotechno...,0.0,0.0,4.0
17,real estate investment & se...,1.0,16.0,62.0
18,retailers,1.0,14.0,238.0
19,software & computer services,0.0,2.0,25.0
20,telecommunications equipment; telecommunications service providers,1.0,67.0,343.0
