,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,1.0,14.0,210.0,225.0
1,Very High,2012.0,4.0,118.0,552.0,674.0
2,Very High,2013.0,3.0,142.0,524.0,669.0
3,Very High,2014.0,4.0,120.0,516.0,640.0
4,Very High,2015.0,2.0,73.0,505.0,580.0
5,Very High,2016.0,14.0,117.0,392.0,523.0
6,Very High,2017.0,5.0,67.0,391.0,463.0
7,Very High,2018.0,4.0,73.0,364.0,441.0
8,Very High,2019.0,1.0,71.0,336.0,408.0
9,Very High,2020.0,0.0,71.0,184.0,255.0
10,Very High,2021.0,24.0,77.0,638.0,739.0
11,Very High,2022.0,14.0,169.0,698.0,881.0
12,Very High,2023.0,9.0,460.0,552.0,1021.0
