,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,0.0,2.0,2.0
1,Very High,2012.0,0.0,1.0,6.0,7.0
2,Very High,2013.0,0.0,1.0,19.0,20.0
3,Very High,2015.0,0.0,1.0,13.0,14.0
4,Very High,2016.0,0.0,1.0,11.0,12.0
5,Very High,2017.0,0.0,0.0,10.0,10.0
6,Very High,2018.0,0.0,1.0,32.0,33.0
7,Very High,2019.0,4.0,7.0,79.0,90.0
8,Very High,2020.0,3.0,6.0,51.0,60.0
9,Very High,2021.0,4.0,5.0,103.0,112.0
10,Very High,2022.0,1.0,6.0,84.0,91.0
11,Very High,2023.0,5.0,19.0,95.0,119.0
