,Sector,Climate,Health,Intersection,Year
0,automobiles & parts,0.0,0.5,0.0,2023
1,banks,0.0,0.0,0.0,2023
2,beverages,0.69,0.92,0.15,2023
3,construction & materials,0.33,0.67,0.0,2023
4,diversified,1.0,1.0,0.0,2023
5,financial services,0.0,0.57,0.0,2023
6,food producers,0.38,0.88,0.0,2023
7,general industrials,0.76,1.0,0.12,2023
8,industrial engineering,0.0,0.33,0.0,2023
9,industrial support services,0.0,0.4,0.0,2023
10,industrial transportation,0.1,0.7,0.1,2023
11,media,0.5,1.0,0.0,2023
12,not applicable,0.0,0.0,0.0,2023
13,real estate investment & se...,1.0,0.0,0.0,2023
14,retailers,0.25,0.25,0.25,2023
15,software & computer services,0.33,1.0,0.17,2023
16,telecommunications equipment; telecommunications service providers,0.4,0.6,0.2,2023
17,travel & leisure,0.0,1.0,0.0,2023
