,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,alternative energy,1,1,1,1,1.0,1.0,1.0
1,automobiles & parts,5,5,5,4,1.0,1.0,0.8
2,banks,1,1,1,1,1.0,1.0,1.0
3,chemicals,9,8,9,7,0.89,1.0,0.78
4,construction & materials,2,2,2,2,1.0,1.0,1.0
5,diversified,1,1,1,1,1.0,1.0,1.0
6,electricity,1,1,1,1,1.0,1.0,1.0
7,electronic & electrical equ...,1,1,1,1,1.0,1.0,1.0
8,finance and credit services,1,1,1,0,1.0,1.0,0.0
9,general industrials,1,1,0,0,1.0,0.0,0.0
10,household goods & home cons...,1,1,1,1,1.0,1.0,1.0
11,industrial metals and mining,3,3,3,3,1.0,1.0,1.0
12,industrial support services,1,0,0,0,0.0,0.0,0.0
13,industrial transportation,2,2,2,2,1.0,1.0,1.0
14,not applicable,3,1,2,0,0.33,0.67,0.0
15,"oil, gas, & coal",3,3,3,3,1.0,1.0,1.0
16,personal goods,2,2,2,1,1.0,1.0,0.5
17,pharmaceuticals & biotechno...,9,9,9,9,1.0,1.0,1.0
18,real estate investment & se...,1,1,1,1,1.0,1.0,1.0
19,software & computer services,11,11,11,10,1.0,1.0,0.91
