,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011.0,0.0,6.0,35.0,41.0,medical equipment and services; health care providers or health care
1,Very High,2012.0,0.0,13.0,47.0,60.0,medical equipment and services; health care providers or health care
2,Very High,2013.0,0.0,26.0,91.0,117.0,medical equipment and services; health care providers or health care
3,Very High,2014.0,0.0,21.0,83.0,104.0,medical equipment and services; health care providers or health care
4,Very High,2015.0,1.0,35.0,111.0,147.0,medical equipment and services; health care providers or health care
5,Very High,2016.0,2.0,38.0,129.0,169.0,medical equipment and services; health care providers or health care
6,Very High,2017.0,4.0,50.0,180.0,234.0,medical equipment and services; health care providers or health care
7,Very High,2018.0,5.0,47.0,101.0,153.0,medical equipment and services; health care providers or health care
8,Very High,2019.0,4.0,50.0,82.0,136.0,medical equipment and services; health care providers or health care
9,Very High,2020.0,0.0,1.0,9.0,10.0,medical equipment and services; health care providers or health care
10,Very High,2021.0,4.0,36.0,730.0,770.0,medical equipment and services; health care providers or health care
11,Very High,2022.0,0.0,6.0,73.0,79.0,medical equipment and services; health care providers or health care
12,Very High,2023.0,76.0,218.0,1266.0,1560.0,medical equipment and services; health care providers or health care
