Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,10,7,8,0,0.7,0.8,0.0
2012.0,19,13,14,2,0.68,0.74,0.11
2013.0,15,12,10,1,0.8,0.67,0.07
2014.0,19,14,15,2,0.74,0.79,0.11
2015.0,20,14,15,5,0.7,0.75,0.25
2016.0,20,15,15,4,0.75,0.75,0.2
2017.0,21,16,15,4,0.76,0.71,0.19
2018.0,22,16,18,4,0.73,0.82,0.18
2019.0,25,17,22,7,0.68,0.88,0.28
2020.0,22,16,18,8,0.73,0.82,0.36
2021.0,34,29,32,12,0.85,0.94,0.35
2022.0,34,32,33,19,0.94,0.97,0.56
2023.0,22,21,22,16,0.95,1.0,0.73
