Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,57,33,53,5,0.58,0.93,0.09
2012.0,68,38,60,8,0.56,0.88,0.12
2013.0,81,40,72,9,0.49,0.89,0.11
2014.0,71,40,59,7,0.56,0.83,0.1
2015.0,79,56,74,13,0.71,0.94,0.16
2016.0,70,42,60,8,0.6,0.86,0.11
2017.0,94,58,79,10,0.62,0.84,0.11
2018.0,86,45,71,11,0.52,0.83,0.13
2019.0,89,56,78,13,0.63,0.88,0.15
2020.0,54,31,42,14,0.57,0.78,0.26
2021.0,105,68,92,31,0.65,0.88,0.3
2022.0,83,56,73,25,0.67,0.88,0.3
2023.0,70,57,64,32,0.81,0.91,0.46
