,Sector,intersection,health,climate
0,alternative energy,5.5,80.0,101.5
1,automobiles & parts,2.0,41.0,10.0
2,banks,0.0,19.5,9.5
3,chemicals,2.0,52.0,8.0
4,construction & materials,1.0,32.5,7.5
5,diversified,1.5,45.17,22.33
6,electricity,0.33,44.33,28.67
7,electronic & electrical equ...,8.0,106.5,247.5
8,finance and credit services,9.0,41.0,109.0
9,food producers,1.43,45.43,13.14
10,"gas, water & multiutilities",5.0,26.0,18.0
11,general industrials,12.0,106.5,79.5
12,industrial materials,7.0,9.0,15.0
13,industrial metals and mining,0.5,56.0,17.5
14,industrial support services,2.33,36.0,41.5
15,industrial transportation,0.0,15.0,10.33
16,life insurance,2.0,98.5,24.0
17,medical equipment and services; health care providers,4.67,204.0,5.67
18,nonlife insurance,0.0,5.0,0.0
19,not applicable,0.0,0.0,0.67
20,"oil, gas, & coal",3.14,61.29,35.0
21,pharmaceuticals & biotechno...,0.0,18.0,2.5
22,retailers,0.0,11.5,1.5
23,software & computer services,2.0,37.2,37.6
24,travel & leisure,0.0,0.33,1.0
