,Sector,intersection,climate,health
0,aerospace & defense,1.0,49.0,237.0
1,alternative energy,14.0,249.0,384.0
2,automobiles & parts,4.0,125.0,650.0
3,banks,4.0,131.0,740.0
4,beverages,4.0,116.0,446.0
5,chemicals,2.0,9.0,69.0
6,construction & materials,33.0,273.0,856.0
7,diversified,21.0,224.0,679.0
8,electricity,10.0,324.0,1184.0
9,electronic & electrical equ...,33.0,908.0,883.0
10,finance and credit services,9.0,109.0,41.0
11,financial services,3.0,175.0,702.0
12,food producers,47.0,464.0,2543.0
13,"gas, water & multiutilities",36.0,416.0,1713.0
14,general industrials,30.0,245.0,888.0
15,household goods & home cons...,3.0,22.0,44.0
16,industrial engineering,1.0,7.0,84.0
17,industrial materials,12.0,37.0,176.0
18,industrial metals & mining,9.0,109.0,523.0
19,industrial metals and mining,2.0,90.0,459.0
20,industrial support services,62.0,787.0,2407.0
21,industrial transportation,3.0,100.0,266.0
22,life insurance,9.0,64.0,315.0
23,media,3.0,27.0,188.0
24,medical equipment and services; health care providers,43.0,58.0,2874.0
25,nonlife insurance,6.0,43.0,461.0
26,not applicable,0.0,3.0,21.0
27,"oil, gas, & coal",40.0,549.0,1797.0
28,personal goods,0.0,13.0,35.0
29,pharmaceuticals & biotechno...,1.0,23.0,524.0
30,real estate investment & se...,0.0,6.0,11.0
31,retailers,19.0,276.0,818.0
32,software & computer services,19.0,241.0,422.0
33,technology hardware & equip...,3.0,31.0,161.0
34,telecommunications equipment; telecommunications service providers,0.0,16.0,79.0
35,travel & leisure,7.0,156.0,441.0
