Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,29,22,28,10,0.76,0.97,0.34
2012.0,33,29,31,11,0.88,0.94,0.33
2013.0,44,30,37,9,0.68,0.84,0.2
2014.0,54,37,43,16,0.69,0.8,0.3
2015.0,47,32,38,14,0.68,0.81,0.3
2016.0,52,37,38,13,0.71,0.73,0.25
2017.0,54,32,40,9,0.59,0.74,0.17
2018.0,52,32,37,13,0.62,0.71,0.25
2019.0,65,42,53,12,0.65,0.82,0.18
2020.0,53,37,44,13,0.7,0.83,0.25
2021.0,76,61,67,31,0.8,0.88,0.41
2022.0,90,71,74,42,0.79,0.82,0.47
2023.0,63,62,63,45,0.98,1.0,0.71
