,Sector,intersection,climate,health
0,aerospace & defense,14.0,191.0,189.0
1,alternative energy,0.0,0.0,22.0
2,automobiles & parts,0.0,3.0,70.0
3,banks,24.0,628.0,598.0
4,beverages,7.0,50.0,178.0
5,chemicals,372.0,2145.0,6130.0
6,construction & materials,19.0,171.0,136.0
7,diversified,111.0,1274.0,1266.0
8,electricity,14.0,172.0,128.0
9,electronic & electrical equ...,13.0,143.0,123.0
10,finance and credit services,48.0,794.0,469.0
11,financial services,90.0,1269.0,1030.0
12,food producers,64.0,363.0,495.0
13,"gas, water & multiutilities",3.0,36.0,83.0
14,general industrials,60.0,390.0,1099.0
15,household goods & home cons...,25.0,291.0,270.0
16,industrial materials,0.0,0.0,19.0
17,industrial metals & mining,2.0,97.0,88.0
18,industrial support services,51.0,705.0,1284.0
19,industrial transportation,26.0,397.0,471.0
20,leisure goods,0.0,1.0,4.0
21,life insurance,42.0,821.0,865.0
22,media,3.0,77.0,82.0
23,medical equipment and services; health care providers,0.0,0.0,34.0
24,not applicable,7.0,53.0,121.0
25,"oil, gas, & coal",37.0,309.0,308.0
26,personal goods,34.0,252.0,439.0
27,pharmaceuticals & biotechno...,2.0,7.0,101.0
28,real estate investment & se...,0.0,11.0,21.0
29,real estate investment trusts,7.0,37.0,22.0
30,retailers,79.0,1015.0,1360.0
31,software & computer services,23.0,319.0,1011.0
32,technology hardware & equip...,8.0,103.0,215.0
33,telecommunications equipment; telecommunications service providers,15.0,363.0,810.0
34,travel & leisure,9.0,224.0,258.0
