,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011.0,0.0,35.0,87.0,122.0
1,Tier 1,2012.0,0.0,50.0,71.0,121.0
2,Tier 1,2013.0,1.0,55.0,111.0,167.0
3,Tier 1,2014.0,5.0,48.0,142.0,195.0
4,Tier 1,2015.0,5.0,61.0,136.0,202.0
5,Tier 1,2016.0,0.0,8.0,71.0,79.0
6,Tier 1,2017.0,0.0,5.0,63.0,68.0
7,Tier 1,2018.0,0.0,6.0,28.0,34.0
8,Tier 1,2019.0,0.0,19.0,79.0,98.0
9,Tier 1,2020.0,8.0,121.0,90.0,219.0
10,Tier 1,2021.0,54.0,215.0,341.0,610.0
11,Tier 1,2022.0,47.0,199.0,357.0,603.0
12,Tier 1,2023.0,11.0,526.0,236.0,773.0
