,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,0.0,1.0,1.0
1,Very High,2012.0,0.0,0.0,6.0,6.0
2,Very High,2013.0,2.0,10.0,63.0,75.0
3,Very High,2014.0,2.0,14.0,45.0,61.0
4,Very High,2015.0,3.0,12.0,48.0,63.0
5,Very High,2016.0,0.0,22.0,67.0,89.0
6,Very High,2017.0,0.0,29.0,62.0,91.0
7,Very High,2018.0,1.0,114.0,22.0,137.0
8,Very High,2019.0,6.0,124.0,42.0,172.0
9,Very High,2020.0,0.0,20.0,57.0,77.0
10,Very High,2021.0,4.0,249.0,292.0,545.0
11,Very High,2022.0,4.0,176.0,318.0,498.0
12,Very High,2023.0,2.0,142.0,99.0,243.0
