,Sector,intersection,climate,health
0,alternative energy,11.0,163.0,103.0
1,automobiles & parts,2.0,98.0,87.0
2,banks,1.0,50.0,62.0
3,construction & materials,11.0,27.0,51.0
4,diversified,48.0,524.0,1030.0
5,finance and credit services,2.0,12.0,464.0
6,financial services,0.0,3.0,39.0
7,food producers,9.0,38.0,126.0
8,"gas, water & multiutilities",8.0,336.0,305.0
9,general industrials,6.0,93.0,615.0
10,household goods & home cons...,0.0,0.0,8.0
11,industrial engineering,7.0,92.0,32.0
12,industrial metals and mining,13.0,119.0,339.0
13,industrial support services,18.0,244.0,641.0
14,industrial transportation,0.0,0.0,3.0
15,media,4.0,30.0,26.0
16,medical equipment and services; health care providers,25.0,25.0,168.0
17,nonlife insurance,0.0,0.0,25.0
18,not applicable,1.0,28.0,88.0
19,"oil, gas, & coal",0.0,0.0,12.0
20,personal goods,31.0,249.0,555.0
21,real estate investment & se...,6.0,258.0,316.0
22,retailers,2.0,59.0,159.0
23,software & computer services,0.0,1.0,1.0
24,telecommunications equipment; telecommunications service providers,14.0,44.0,276.0
25,travel & leisure,0.0,16.0,37.0
