,Sector,intersection,climate,health
0,alternative energy,12.0,283.0,206.0
1,banks,55.0,794.0,403.0
2,beverages,35.0,745.0,680.0
3,chemicals,227.0,1488.0,2511.0
4,construction & materials,15.0,404.0,333.0
5,diversified,115.0,1585.0,1203.0
6,electricity,6.0,96.0,112.0
7,electronic & electrical equ...,25.0,383.0,611.0
8,finance and credit services,23.0,596.0,113.0
9,financial services,216.0,2622.0,1662.0
10,food producers,76.0,608.0,950.0
11,"gas, water & multiutilities",4.0,50.0,42.0
12,general industrials,8.0,232.0,347.0
13,household goods & home cons...,14.0,268.0,438.0
14,industrial engineering,14.0,310.0,344.0
15,industrial materials,2.0,32.0,88.0
16,industrial metals & mining,8.0,44.0,198.0
17,industrial metals and mining,19.0,57.0,188.0
18,industrial support services,57.0,1225.0,1160.0
19,industrial transportation,56.0,612.0,878.0
20,life insurance,13.0,321.0,372.0
21,media,0.0,1.0,0.0
22,medical equipment and services; health care providers,19.0,324.0,919.0
23,nonlife insurance,2.0,22.0,19.0
24,not applicable,0.0,2.0,3.0
25,"oil, gas, & coal",10.0,255.0,174.0
26,open end and miscellaneous investment vehicles,0.0,5.0,1.0
27,personal goods,32.0,142.0,862.0
28,pharmaceuticals & biotechno...,154.0,464.0,1823.0
29,real estate investment & se...,1.0,26.0,16.0
30,retailers,8.0,331.0,660.0
31,software & computer services,70.0,1041.0,1200.0
32,technology hardware & equip...,29.0,334.0,748.0
33,telecommunications equipment; telecommunications service providers,2.0,11.0,14.0
34,travel & leisure,12.0,163.0,497.0
