,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,20.0,358.0,561.0,939.0
1,Very High,2012.0,13.0,316.0,462.0,791.0
2,Very High,2013.0,3.0,221.0,293.0,517.0
3,Very High,2014.0,0.0,165.0,259.0,424.0
4,Very High,2015.0,8.0,181.0,294.0,483.0
5,Very High,2016.0,6.0,219.0,439.0,664.0
6,Very High,2017.0,24.0,456.0,812.0,1292.0
7,Very High,2018.0,39.0,564.0,609.0,1212.0
8,Very High,2019.0,42.0,860.0,1064.0,1966.0
9,Very High,2020.0,62.0,644.0,1154.0,1860.0
10,Very High,2021.0,206.0,1402.0,2559.0,4167.0
11,Very High,2022.0,232.0,2347.0,3261.0,5840.0
12,Very High,2023.0,255.0,3245.0,2759.0,6259.0
