,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2012.0,0.0,4.0,30.0,34.0
1,Very High,2013.0,0.0,4.0,20.0,24.0
2,Very High,2014.0,0.0,2.0,8.0,10.0
3,Very High,2015.0,0.0,2.0,10.0,12.0
4,Very High,2016.0,0.0,2.0,19.0,21.0
5,Very High,2017.0,2.0,5.0,20.0,27.0
6,Very High,2018.0,1.0,17.0,34.0,52.0
7,Very High,2019.0,1.0,14.0,49.0,64.0
8,Very High,2020.0,2.0,34.0,81.0,117.0
9,Very High,2021.0,21.0,102.0,540.0,663.0
10,Very High,2022.0,35.0,163.0,477.0,675.0
11,Very High,2023.0,25.0,234.0,316.0,575.0
