,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,64.0,1718.0,3063.0,4845.0
1,Very High,2012.0,38.0,1798.0,3279.0,5115.0
2,Very High,2013.0,71.0,1984.0,4167.0,6222.0
3,Very High,2014.0,76.0,2214.0,4646.0,6936.0
4,Very High,2015.0,69.0,1914.0,4503.0,6486.0
5,Very High,2016.0,110.0,2197.0,4868.0,7175.0
6,Very High,2017.0,148.0,2589.0,6003.0,8740.0
7,Very High,2018.0,143.0,3027.0,7554.0,10724.0
8,Very High,2019.0,194.0,4498.0,8173.0,12865.0
9,Very High,2020.0,455.0,6825.0,12429.0,19709.0
10,Very High,2021.0,857.0,12079.0,18772.0,31708.0
11,Very High,2022.0,1077.0,16006.0,21097.0,38180.0
12,Very High,2023.0,1257.0,22855.0,23535.0,47647.0
