Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,71,56,52,16,0.79,0.73,0.23
2012.0,83,62,66,15,0.75,0.8,0.18
2013.0,98,62,82,17,0.63,0.84,0.17
2014.0,110,69,97,19,0.63,0.88,0.17
2015.0,128,81,103,25,0.63,0.8,0.2
2016.0,127,90,110,26,0.71,0.87,0.2
2017.0,132,93,110,31,0.7,0.83,0.23
2018.0,124,94,101,32,0.76,0.81,0.26
2019.0,145,109,128,29,0.75,0.88,0.2
2020.0,130,102,119,41,0.78,0.92,0.32
2021.0,199,159,192,95,0.8,0.96,0.48
2022.0,213,176,190,95,0.83,0.89,0.45
2023.0,164,157,153,114,0.96,0.93,0.7
