,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.09,1.0,0.0,2023
1,alternative energy,1.0,1.0,0.82,2023
2,automobiles & parts,0.47,0.68,0.26,2023
3,banks,1.0,1.0,0.0,2023
4,beverages,0.63,0.97,0.37,2023
5,chemicals,0.64,0.82,0.18,2023
6,construction & materials,0.74,0.83,0.45,2023
7,diversified,0.84,0.91,0.35,2023
8,electricity,0.9,0.76,0.17,2023
9,electronic & electrical equ...,0.36,0.89,0.07,2023
10,finance and credit services,0.98,1.0,0.62,2023
11,financial services,0.88,0.79,0.33,2023
12,food producers,0.45,1.0,0.36,2023
13,"gas, water & multiutilities",0.85,0.5,0.15,2023
14,general industrials,0.46,0.95,0.27,2023
15,household goods & home cons...,0.4,0.6,0.2,2023
16,industrial engineering,0.5,1.0,0.32,2023
17,industrial goods & services,1.0,1.0,0.0,2023
18,industrial metals & mining,0.94,0.89,0.33,2023
19,industrial metals and mining,0.71,0.86,0.5,2023
20,industrial support services,0.79,0.88,0.26,2023
21,industrial transportation,0.77,0.81,0.35,2023
22,investment banking and brokerage services,0.88,1.0,0.5,2023
23,leisure goods,0.23,0.46,0.08,2023
24,media,0.65,0.77,0.2,2023
25,medical equipment and services; health care providers,0.89,1.0,0.56,2023
26,nonlife insurance,1.0,1.0,0.56,2023
27,not applicable,0.62,0.85,0.08,2023
28,"oil, gas, & coal",0.9,0.9,0.76,2023
29,personal goods,0.96,0.92,0.24,2023
30,pharmaceuticals & biotechno...,0.88,0.96,0.75,2023
31,real estate investment & se...,0.92,1.0,0.15,2023
32,real estate investment trusts,0.86,0.9,0.52,2023
33,retailers,0.67,0.87,0.29,2023
34,software & computer services,0.59,0.92,0.15,2023
35,technology hardware & equip...,0.77,0.83,0.23,2023
36,telecommunications equipment; telecommunications service providers,0.75,0.44,0.31,2023
37,travel & leisure,0.86,0.97,0.45,2023
