,Sector,intersection,health,climate
0,alternative energy,4.75,38.0,88.75
1,automobiles & parts,3.0,41.0,81.5
2,beverages,7.0,58.0,89.5
3,chemicals,2.75,44.0,54.25
4,construction & materials,1.71,49.86,43.43
5,diversified,1.68,25.05,34.58
6,electricity,13.0,101.0,364.0
7,electronic & electrical equ...,4.0,62.0,77.33
8,finance and credit services,2.13,19.04,87.83
9,food producers,17.0,159.0,115.0
10,"gas, water & multiutilities",7.5,62.5,160.0
11,general industrials,1.0,21.0,30.5
12,household goods & home cons...,8.5,65.5,116.0
13,industrial engineering,14.0,74.0,127.0
14,industrial metals and mining,7.33,52.33,43.67
15,industrial support services,3.25,26.25,54.79
16,industrial transportation,3.5,35.5,53.5
17,investment banking and brokerage services,1.75,19.5,90.25
18,media,8.0,92.5,110.75
19,medical equipment and services; health care providers,12.67,98.33,25.67
20,not applicable,0.22,8.89,8.67
21,"oil, gas, & coal",4.5,55.25,129.88
22,personal goods,34.0,185.0,166.33
23,pharmaceuticals & biotechno...,17.25,116.25,40.75
24,real estate investment & se...,0.0,3.0,8.0
25,real estate investment trusts,3.5,37.0,120.5
26,retailers,1.5,18.0,60.5
27,software & computer services,1.77,27.69,50.46
28,telecommunications equipment; telecommunications service providers,3.0,48.5,35.0
29,travel & leisure,2.0,11.5,37.0
