,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2014.0,3.0,2.0,33.0,38.0,medical equipment and services; health care providers or health care
1,Europe,2015.0,0.0,1.0,54.0,55.0,medical equipment and services; health care providers or health care
2,Europe,2016.0,0.0,1.0,86.0,87.0,medical equipment and services; health care providers or health care
3,Europe,2017.0,0.0,1.0,97.0,98.0,medical equipment and services; health care providers or health care
4,Europe,2018.0,12.0,7.0,285.0,304.0,medical equipment and services; health care providers or health care
5,Europe,2019.0,4.0,5.0,78.0,87.0,medical equipment and services; health care providers or health care
6,Europe,2020.0,6.0,4.0,218.0,228.0,medical equipment and services; health care providers or health care
7,Europe,2021.0,0.0,1.0,1.0,2.0,medical equipment and services; health care providers or health care
8,Europe,2022.0,17.0,48.0,233.0,298.0,medical equipment and services; health care providers or health care
9,Europe,2023.0,38.0,77.0,295.0,410.0,medical equipment and services; health care providers or health care
