,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2014.0,3.0,2.0,33.0,38.0,medical equipment and services; health care providers or health care
1,Very High,2015.0,0.0,1.0,54.0,55.0,medical equipment and services; health care providers or health care
2,Very High,2016.0,0.0,1.0,86.0,87.0,medical equipment and services; health care providers or health care
3,Very High,2017.0,0.0,1.0,97.0,98.0,medical equipment and services; health care providers or health care
4,Very High,2018.0,12.0,7.0,285.0,304.0,medical equipment and services; health care providers or health care
5,Very High,2019.0,4.0,5.0,78.0,87.0,medical equipment and services; health care providers or health care
6,Very High,2020.0,6.0,4.0,218.0,228.0,medical equipment and services; health care providers or health care
7,Very High,2021.0,0.0,1.0,1.0,2.0,medical equipment and services; health care providers or health care
8,Very High,2022.0,17.0,48.0,233.0,298.0,medical equipment and services; health care providers or health care
9,Very High,2023.0,38.0,77.0,295.0,410.0,medical equipment and services; health care providers or health care
