,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,0.0,31.0,31.0
1,Very High,2012.0,5.0,45.0,130.0,180.0
2,Very High,2013.0,5.0,49.0,84.0,138.0
3,Very High,2014.0,0.0,1.0,47.0,48.0
4,Very High,2015.0,0.0,0.0,27.0,27.0
5,Very High,2016.0,0.0,0.0,38.0,38.0
6,Very High,2017.0,0.0,0.0,32.0,32.0
7,Very High,2018.0,0.0,21.0,21.0,42.0
8,Very High,2019.0,0.0,28.0,21.0,49.0
9,Very High,2020.0,5.0,28.0,27.0,60.0
10,Very High,2021.0,7.0,31.0,35.0,73.0
11,Very High,2022.0,3.0,33.0,51.0,87.0
