,Sector,intersection,climate,health
0,aerospace & defense,0.0,0.0,0.0
1,automobiles & parts,25.0,245.0,772.0
2,banks,0.0,0.0,1.0
3,chemicals,2.0,31.0,112.0
4,construction & materials,3.0,14.0,322.0
5,diversified,1.0,22.0,67.0
6,electricity,2.0,44.0,176.0
7,food producers,19.0,23.0,43.0
8,general industrials,9.0,50.0,115.0
9,industrial engineering,2.0,14.0,76.0
10,industrial materials,0.0,0.0,23.0
11,industrial support services,0.0,2.0,4.0
12,industrial transportation,0.0,2.0,6.0
13,media,0.0,0.0,3.0
14,not applicable,0.0,0.0,1.0
15,"oil, gas, & coal",32.0,163.0,1264.0
16,personal goods,24.0,197.0,404.0
17,pharmaceuticals & biotechno...,0.0,1.0,10.0
18,software & computer services,10.0,168.0,127.0
19,telecommunications equipment; telecommunications service providers,0.0,6.0,4.0
20,travel & leisure,0.0,10.0,10.0
