,Sector,intersection,climate,health
0,aerospace & defense,25.0,698.0,1271.0
1,alternative energy,11.0,254.0,390.0
2,automobiles & parts,140.0,3415.0,3907.0
3,banks,65.0,2152.0,2731.0
4,beverages,2.0,65.0,164.0
5,chemicals,145.0,2009.0,4290.0
6,construction & materials,33.0,472.0,1161.0
7,diversified,220.0,3315.0,5251.0
8,electricity,41.0,1637.0,1596.0
9,electronic & electrical equ...,46.0,754.0,1095.0
10,finance and credit services,54.0,984.0,685.0
11,financial services,248.0,2928.0,3414.0
12,food producers,30.0,333.0,725.0
13,"gas, water & multiutilities",63.0,1242.0,1185.0
14,general industrials,57.0,941.0,2691.0
15,household goods & home cons...,39.0,570.0,873.0
16,industrial engineering,61.0,1021.0,2443.0
17,industrial materials,0.0,79.0,133.0
18,industrial metals & mining,2.0,60.0,286.0
19,industrial metals and mining,11.0,380.0,786.0
20,industrial support services,60.0,1006.0,1747.0
21,industrial transportation,22.0,921.0,1482.0
22,media,7.0,483.0,1117.0
23,medical equipment and services; health care providers,89.0,638.0,2338.0
24,nonlife insurance,66.0,531.0,512.0
25,not applicable,1.0,56.0,80.0
26,"oil, gas, & coal",24.0,632.0,1015.0
27,personal goods,30.0,611.0,945.0
28,pharmaceuticals & biotechno...,211.0,1320.0,6870.0
29,real estate investment & se...,46.0,953.0,763.0
30,retailers,26.0,1085.0,1748.0
31,software & computer services,133.0,1996.0,2552.0
32,technology hardware & equip...,50.0,1200.0,1633.0
33,telecommunications equipment; telecommunications service providers,37.0,473.0,678.0
34,travel & leisure,71.0,998.0,1642.0
