,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.8,0.82,0.25,2023
1,alternative energy,1.0,0.79,0.17,2023
2,automobiles & parts,0.81,0.92,0.48,2023
3,banks,0.94,0.95,0.38,2023
4,beverages,0.5,0.5,0.5,2023
5,chemicals,0.77,0.92,0.3,2023
6,construction & materials,0.76,0.91,0.3,2023
7,diversified,0.79,0.96,0.35,2023
8,electricity,0.85,1.0,0.3,2023
9,electronic & electrical equ...,0.62,0.73,0.19,2023
10,finance and credit services,0.77,0.86,0.32,2023
11,financial services,0.68,0.9,0.27,2023
12,food producers,0.65,0.85,0.35,2023
13,"gas, water & multiutilities",0.81,0.91,0.59,2023
14,general industrials,0.68,0.79,0.17,2023
15,household goods & home cons...,0.82,0.85,0.21,2023
16,industrial engineering,0.6,0.83,0.25,2023
17,industrial materials,0.73,0.87,0.0,2023
18,industrial metals & mining,0.59,0.76,0.12,2023
19,industrial metals and mining,0.77,0.77,0.46,2023
20,industrial support services,0.5,0.74,0.12,2023
21,industrial transportation,0.83,0.99,0.23,2023
22,media,0.46,0.53,0.04,2023
23,medical equipment and services; health care providers,0.51,0.92,0.14,2023
24,nonlife insurance,1.0,1.0,1.0,2023
25,not applicable,0.75,0.88,0.12,2023
26,"oil, gas, & coal",0.7,0.8,0.27,2023
27,personal goods,0.77,0.85,0.21,2023
28,pharmaceuticals & biotechno...,0.74,0.98,0.53,2023
29,real estate investment & se...,0.81,0.96,0.56,2023
30,retailers,0.62,0.77,0.13,2023
31,software & computer services,0.53,0.79,0.12,2023
32,technology hardware & equip...,0.64,0.88,0.16,2023
33,telecommunications equipment; telecommunications service providers,0.5,0.83,0.5,2023
34,travel & leisure,0.83,0.89,0.42,2023
