,Sector,intersection,health,climate
0,alternative energy,0.33,53.33,44.33
1,automobiles & parts,2.92,73.67,116.25
2,banks,2.2,61.3,70.2
3,beverages,1.0,64.0,32.0
4,chemicals,3.0,67.83,51.0
5,construction & materials,6.33,54.0,44.0
6,diversified,3.33,36.85,42.79
7,electricity,2.0,61.25,97.25
8,electronic & electrical equ...,2.44,36.22,40.33
9,finance and credit services,4.64,54.82,86.55
10,food producers,2.0,34.5,23.0
11,"gas, water & multiutilities",2.75,22.0,20.0
12,general industrials,1.44,30.44,17.75
13,household goods & home cons...,4.0,85.5,77.0
14,industrial engineering,1.5,41.38,30.25
15,industrial materials,0.0,11.5,6.5
16,industrial metals and mining,1.0,59.67,49.33
17,industrial support services,2.5,42.92,37.58
18,industrial transportation,0.83,65.67,52.83
19,media,0.75,24.0,23.75
20,medical equipment and services; health care providers,7.14,122.0,41.86
21,nonlife insurance,2.0,48.0,106.0
22,not applicable,0.2,11.0,10.6
23,"oil, gas, & coal",2.0,34.0,62.0
24,personal goods,4.0,59.5,104.5
25,pharmaceuticals & biotechno...,16.75,351.0,108.0
26,real estate investment & se...,2.62,41.5,66.0
27,retailers,1.12,46.25,22.75
28,software & computer services,1.56,27.81,38.06
29,technology hardware & equip...,2.78,37.56,51.0
30,telecommunications equipment; telecommunications service providers,6.0,178.0,183.0
31,travel & leisure,0.4,43.2,20.6
