,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,68.0,926.0,1503.0,2497.0
1,Very High,2012.0,26.0,825.0,1441.0,2292.0
2,Very High,2013.0,40.0,992.0,2370.0,3402.0
3,Very High,2014.0,27.0,981.0,2002.0,3010.0
4,Very High,2015.0,43.0,1106.0,2665.0,3814.0
5,Very High,2016.0,86.0,1429.0,2711.0,4226.0
6,Very High,2017.0,130.0,1569.0,3429.0,5128.0
7,Very High,2018.0,136.0,1772.0,3862.0,5770.0
8,Very High,2019.0,98.0,1905.0,3988.0,5991.0
9,Very High,2020.0,133.0,2592.0,4834.0,7559.0
10,Very High,2021.0,340.0,4616.0,9553.0,14509.0
11,Very High,2022.0,405.0,6190.0,9801.0,16396.0
12,Very High,2023.0,634.0,11309.0,12040.0,23983.0
