,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011.0,0.0,7.0,18.0,25.0,medical equipment and services; health care providers or health care
1,Very High,2012.0,0.0,8.0,58.0,66.0,medical equipment and services; health care providers or health care
2,Very High,2013.0,0.0,9.0,76.0,85.0,medical equipment and services; health care providers or health care
3,Very High,2014.0,0.0,4.0,44.0,48.0,medical equipment and services; health care providers or health care
4,Very High,2015.0,0.0,6.0,47.0,53.0,medical equipment and services; health care providers or health care
5,Very High,2016.0,0.0,11.0,32.0,43.0,medical equipment and services; health care providers or health care
6,Very High,2017.0,0.0,9.0,50.0,59.0,medical equipment and services; health care providers or health care
7,Very High,2018.0,1.0,17.0,118.0,136.0,medical equipment and services; health care providers or health care
8,Very High,2019.0,1.0,29.0,127.0,157.0,medical equipment and services; health care providers or health care
9,Very High,2020.0,1.0,7.0,127.0,135.0,medical equipment and services; health care providers or health care
10,Very High,2021.0,2.0,57.0,152.0,211.0,medical equipment and services; health care providers or health care
11,Very High,2022.0,34.0,181.0,635.0,850.0,medical equipment and services; health care providers or health care
12,Very High,2023.0,50.0,293.0,854.0,1197.0,medical equipment and services; health care providers or health care
