,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2011.0,0.0,15.0,194.0,209.0,medical equipment and services; health care providers or health care
1,Europe,2012.0,2.0,37.0,374.0,413.0,medical equipment and services; health care providers or health care
2,Europe,2013.0,0.0,55.0,728.0,783.0,medical equipment and services; health care providers or health care
3,Europe,2014.0,8.0,82.0,1074.0,1164.0,medical equipment and services; health care providers or health care
4,Europe,2015.0,8.0,111.0,1220.0,1339.0,medical equipment and services; health care providers or health care
5,Europe,2016.0,3.0,110.0,1006.0,1119.0,medical equipment and services; health care providers or health care
6,Europe,2017.0,10.0,162.0,1568.0,1740.0,medical equipment and services; health care providers or health care
7,Europe,2018.0,24.0,173.0,1885.0,2082.0,medical equipment and services; health care providers or health care
8,Europe,2019.0,24.0,209.0,1317.0,1550.0,medical equipment and services; health care providers or health care
9,Europe,2020.0,50.0,257.0,1986.0,2293.0,medical equipment and services; health care providers or health care
10,Europe,2021.0,123.0,606.0,4605.0,5334.0,medical equipment and services; health care providers or health care
11,Europe,2022.0,138.0,776.0,4543.0,5457.0,medical equipment and services; health care providers or health care
12,Europe,2023.0,340.0,1315.0,5753.0,7408.0,medical equipment and services; health care providers or health care
