,SIDS,Year,intersection,climate,health,sum
13,Tier 1,2011.0,427.0,7794.0,15805.0,24026.0
14,Tier 1,2012.0,433.0,8856.0,19687.0,28976.0
15,Tier 1,2013.0,442.0,9298.0,19882.0,29622.0
16,Tier 1,2014.0,471.0,9827.0,21151.0,31449.0
17,Tier 1,2015.0,460.0,9383.0,21714.0,31557.0
18,Tier 1,2016.0,559.0,10301.0,22753.0,33613.0
19,Tier 1,2017.0,711.0,10948.0,24231.0,35890.0
20,Tier 1,2018.0,693.0,11441.0,27652.0,39786.0
21,Tier 1,2019.0,943.0,14994.0,31417.0,47354.0
22,Tier 1,2020.0,1200.0,18756.0,34491.0,54447.0
23,Tier 1,2021.0,3549.0,34774.0,83004.0,121327.0
24,Tier 1,2022.0,3989.0,49803.0,84466.0,138258.0
25,Tier 1,2023.0,6403.0,101432.0,100842.0,208677.0
