,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2011.0,0.0,1.0,115.0,116.0,medical equipment and services; health care providers or health care
1,Europe,2012.0,2.0,14.0,200.0,216.0,medical equipment and services; health care providers or health care
2,Europe,2013.0,0.0,15.0,361.0,376.0,medical equipment and services; health care providers or health care
3,Europe,2014.0,0.0,28.0,398.0,426.0,medical equipment and services; health care providers or health care
4,Europe,2015.0,5.0,41.0,699.0,745.0,medical equipment and services; health care providers or health care
5,Europe,2016.0,0.0,30.0,424.0,454.0,medical equipment and services; health care providers or health care
6,Europe,2017.0,6.0,39.0,917.0,962.0,medical equipment and services; health care providers or health care
7,Europe,2018.0,2.0,18.0,733.0,753.0,medical equipment and services; health care providers or health care
8,Europe,2019.0,3.0,17.0,391.0,411.0,medical equipment and services; health care providers or health care
9,Europe,2020.0,25.0,67.0,825.0,917.0,medical equipment and services; health care providers or health care
10,Europe,2021.0,64.0,194.0,1502.0,1760.0,medical equipment and services; health care providers or health care
11,Europe,2022.0,20.0,128.0,990.0,1138.0,medical equipment and services; health care providers or health care
12,Europe,2023.0,36.0,126.0,1052.0,1214.0,medical equipment and services; health care providers or health care
