Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,12,7,12,2,0.58,1.0,0.17
2012.0,20,8,20,4,0.4,1.0,0.2
2013.0,18,4,18,0,0.22,1.0,0.0
2014.0,27,13,24,2,0.48,0.89,0.07
2015.0,34,11,33,2,0.32,0.97,0.06
2016.0,35,15,30,2,0.43,0.86,0.06
2017.0,32,15,29,2,0.47,0.91,0.06
2018.0,36,15,32,2,0.42,0.89,0.06
2019.0,39,19,36,5,0.49,0.92,0.13
2020.0,25,13,23,4,0.52,0.92,0.16
2021.0,50,31,49,13,0.62,0.98,0.26
2022.0,37,26,34,14,0.7,0.92,0.38
2023.0,20,18,17,15,0.9,0.85,0.75
