,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Medium,2011.0,0.0,1.0,47.0,48.0,medical equipment and services; health care providers or health care
1,Medium,2012.0,1.0,3.0,111.0,115.0,medical equipment and services; health care providers or health care
2,Medium,2013.0,0.0,0.0,85.0,85.0,medical equipment and services; health care providers or health care
3,Medium,2014.0,25.0,24.0,178.0,227.0,medical equipment and services; health care providers or health care
4,Medium,2015.0,9.0,27.0,165.0,201.0,medical equipment and services; health care providers or health care
5,Medium,2016.0,2.0,2.0,40.0,44.0,medical equipment and services; health care providers or health care
6,Medium,2017.0,0.0,0.0,7.0,7.0,medical equipment and services; health care providers or health care
7,Medium,2018.0,0.0,0.0,81.0,81.0,medical equipment and services; health care providers or health care
8,Medium,2019.0,0.0,0.0,87.0,87.0,medical equipment and services; health care providers or health care
9,Medium,2020.0,0.0,0.0,14.0,14.0,medical equipment and services; health care providers or health care
10,Medium,2021.0,7.0,5.0,90.0,102.0,medical equipment and services; health care providers or health care
11,Medium,2022.0,1.0,5.0,78.0,84.0,medical equipment and services; health care providers or health care
