,Sector,intersection,climate,health
0,aerospace & defense,0.0,0.0,25.0
1,alternative energy,0.0,21.0,1.0
2,automobiles & parts,0.0,0.0,4.0
3,banks,29.0,457.0,651.0
4,beverages,28.0,362.0,286.0
5,chemicals,9.0,40.0,69.0
6,construction & materials,0.0,33.0,61.0
7,diversified,36.0,378.0,678.0
8,electricity,5.0,90.0,66.0
9,electronic & electrical equ...,7.0,43.0,94.0
10,finance and credit services,6.0,68.0,83.0
11,financial services,6.0,33.0,232.0
12,food producers,21.0,207.0,977.0
13,"gas, water & multiutilities",0.0,2.0,0.0
14,general industrials,0.0,3.0,66.0
15,household goods & home cons...,0.0,0.0,24.0
16,industrial engineering,1.0,8.0,52.0
17,industrial materials,0.0,8.0,16.0
18,industrial metals & mining,0.0,0.0,33.0
19,industrial metals and mining,0.0,0.0,76.0
20,industrial support services,8.0,55.0,454.0
21,industrial transportation,1.0,2.0,52.0
22,media,0.0,4.0,40.0
23,medical equipment and services; health care providers,45.0,67.0,983.0
24,not applicable,0.0,5.0,5.0
25,pharmaceuticals & biotechno...,0.0,9.0,44.0
26,retailers,0.0,0.0,2.0
27,software & computer services,0.0,8.0,27.0
28,technology hardware & equip...,1.0,11.0,32.0
29,telecommunications equipment; telecommunications service providers,29.0,407.0,1009.0
30,travel & leisure,1.0,19.0,52.0
