,index,LC_grouping,Year,intersection,climate,health,sum
0,0,South and Central America,2011.0,18.0,195.0,934.0,1147.0
1,1,South and Central America,2012.0,18.0,234.0,1579.0,1831.0
2,2,South and Central America,2013.0,19.0,300.0,1801.0,2120.0
3,3,South and Central America,2014.0,14.0,253.0,1206.0,1473.0
4,4,South and Central America,2015.0,13.0,262.0,1002.0,1277.0
5,5,South and Central America,2016.0,28.0,265.0,1130.0,1423.0
6,6,South and Central America,2017.0,18.0,244.0,1219.0,1481.0
7,7,South and Central America,2018.0,8.0,89.0,839.0,936.0
8,8,South and Central America,2019.0,7.0,131.0,806.0,944.0
9,9,South and Central America,2020.0,5.0,99.0,621.0,725.0
10,10,South and Central America,2021.0,52.0,333.0,1797.0,2182.0
11,11,South and Central America,2022.0,36.0,172.0,1450.0,1658.0
12,12,South and Central America,2023.0,92.0,1284.0,2001.0,3377.0
